p,algo,modelo_desc,tasa_pesada
3,qda,adulto ~ long.altura + peso.total + peso.desenvainado,0.7816614795307637
3,qda,adulto ~ long.altura + peso.total + peso.viscera,0.7766339478094326
3,qda,adulto ~ long.altura + peso.viscera + peso.caparazon,0.7718458223605459
3,qda,adulto ~ long.diametro + long.altura + peso.caparazon,0.7687335408187694
3,qda,adulto ~ long.diametro + long.altura + peso.desenvainado,0.7751975101747666
3,qda,adulto ~ long.diametro + long.altura + peso.total,0.7792674168063203
3,qda,adulto ~ long.diametro + long.altura + peso.viscera,0.7761551352645439
3,qda,adulto ~ long.diametro + peso.desenvainado + peso.caparazon,0.7756763227196553
3,qda,adulto ~ long.diametro + peso.desenvainado + peso.viscera,0.7747186976298779
3,qda,adulto ~ long.diametro + peso.total + peso.caparazon,0.779746229351209
3,qda,adulto ~ long.diametro + peso.total + peso.desenvainado,0.7835767297103184
3,qda,adulto ~ long.diametro + peso.total + peso.viscera,0.781900885803208
3,qda,adulto ~ long.diametro + peso.viscera + peso.caparazon,0.7785491979889874
3,qda,adulto ~ long.largo + long.altura + peso.caparazon,0.7692123533636581
3,qda,adulto ~ long.largo + long.altura + peso.desenvainado,0.7740004788125449
3,qda,adulto ~ long.largo + long.altura + peso.total,0.7857313861623174
3,qda,adulto ~ long.largo + long.altura + peso.viscera,0.7735216662676562
3,qda,adulto ~ long.largo + long.diametro + long.altura,0.7929135743356476
3,qda,adulto ~ long.largo + long.diametro + peso.caparazon,0.7857313861623174
3,qda,adulto ~ long.largo + long.diametro + peso.desenvainado,0.7890830739765382
